"Date","SPY","AAPL","GOOG","MRK","JNJ","WMT","TGT"
"2019-01-03",-0.0239,-0.0996,-0.0285,-0.0205,-0.0159,-0.0051,-0.0137
"2019-01-04",0.0335,0.0427,0.0538,0.0301,0.0168,0.0062,0.0137
"2019-01-07",0.0079,-0.0022,-0.0022,-0.011,-0.0064,0.0118,0.0489
"2019-01-08",0.0094,0.0191,0.0074,0.0074,0.0232,0.007,-0.001
"2019-01-09",0.0047,0.017,-0.0015,-0.0076,-0.0079,-0.0033,0.0098
"2019-01-10",0.0035,0.0032,-0.004,-0.0123,0.006,7e-04,-0.0285
"2019-01-11",4e-04,-0.0098,-0.0123,0.0056,3e-04,-0.0013,0.0193
"2019-01-14",-0.0061,-0.015,-0.0118,-0.0204,-0.0113,0.0012,-0.0111
"2019-01-15",0.0115,0.0205,0.0311,0.0154,0.0084,0.0137,-0.0092
"2019-01-16",0.0024,0.0122,0.0035,0.0015,-0.0102,0.001,-0.0053
"2019-01-17",0.0076,0.0059,0.0083,0.0133,0.0082,0.004,0.0224
"2019-01-18",0.0133,0.0062,0.0077,0.0036,0.0124,0.0102,0.0189
"2019-01-22",-0.0135,-0.0224,-0.0253,-5e-04,-0.0145,-0.0025,-0.0057
"2019-01-23",0.0021,0.004,0.0047,-0.0051,0,0.0125,6e-04
"2019-01-24",5e-04,-0.0079,-0.0016,-0.0301,-0.0137,-0.0035,0.0041
"2019-01-25",0.0085,0.0331,0.0159,-0.003,0.0094,-0.0144,0.0252
"2019-01-28",-0.0076,-0.0093,-0.0192,-4e-04,0.0059,0.0012,-0.0037
"2019-01-29",-0.0013,-0.0104,-0.0088,0.0043,0.0104,-0.0036,-0.0058
"2019-01-30",0.0158,0.0683,0.0268,0.0019,0.0101,-0.0197,0.0088
"2019-01-31",0.0088,0.0072,0.0251,0.0144,0.0109,0.0109,0.0093
"2019-02-01",5e-04,5e-04,-0.005,0.0271,0.0084,-0.0206,-0.0251
"2019-02-04",0.007,0.0284,0.0199,0.0055,-0.0098,0.0097,0.0178
"2019-02-05",0.0042,0.0171,0.0116,0.0036,0,0.0088,0.0046
"2019-02-06",-0.0013,3e-04,-0.0268,0.0031,9e-04,4e-04,-0.0036
"2019-02-07",-0.0095,-0.0189,-0.0148,-0.0074,-0.0071,0.0114,-0.009
"2019-02-08",0.0012,0.0012,-0.0033,0.0091,0.0027,-0.0119,-0.0136
"2019-02-11",6e-04,-0.0058,0,-0.0104,-0.003,0.0065,-0.0103
"2019-02-12",0.0129,0.0086,0.0241,0.0236,0.0164,0.008,0.0037
"2019-02-13",0.0032,-0.0042,-0.0011,0.0064,0.0022,0.01,0.0307
"2019-02-14",-0.0022,0.0036,0.0013,-0.001,-0.001,0.0059,-0.0054
"2019-02-15",0.0109,-0.0022,-0.0072,0.011,0.0154,0.0149,0.0091
"2019-02-19",0.0017,0.003,0.0044,-0.0071,-0.0051,0.0221,0.0152
"2019-02-20",0.002,0.0064,-0.0043,0.0024,0.0049,-0.0227,-0.008
"2019-02-21",-0.0036,-0.0056,-0.0151,0.005,-0.0068,-0.0049,-0.0094
"2019-02-22",0.0062,0.0112,0.0122,0.0118,0.0087,0.0016,0.0031
"2019-02-25",0.0014,0.0073,-9e-04,-0.0048,0.0037,-0.0043,0.0118
"2019-02-26",-7e-04,6e-04,0.0052,0.0045,-7e-04,-0.0043,-0.0111
"2019-02-27",-4e-04,0.0031,8e-04,-0.0015,-0.0018,-0.0059,0.0101
"2019-02-28",-0.0019,-0.0098,0.0035,0.0083,0.0057,0.009,-0.0052
"2019-03-01",0.0062,0.0105,0.0188,0.0044,0.0125,-0.0107,0.0041
"2019-03-04",-0.0036,0.005,0.006,-0.0034,9e-04,-8e-04,-0.0037
"2019-03-05",-0.0014,-0.0018,0.0124,0.0041,0.0021,0.005,0.0458
"2019-03-06",-0.0061,-0.0058,-0.0036,-0.0115,0.0023,-8e-04,0.0118
"2019-03-07",-0.0084,-0.0116,-0.0126,-0.0038,-0.0061,-0.0082,-0.0095
"2019-03-08",-0.002,0.0024,-9e-04,-0.0081,-0.0013,0.0014,-0.0047
"2019-03-11",0.0145,0.0346,0.0293,0.0134,0.0036,0.0091,0.0061
"2019-03-12",0.0038,0.0112,0.0148,0.0045,0.0045,-0.0011,-0.0012
"2019-03-13",0.0066,0.0044,1e-04,0.0046,0.0017,0.0067,0.0123
"2019-03-14",-6e-04,0.0111,-0.0065,0.0054,-0.01,-0.0028,-0.0082
"2019-03-15",0.0049,0.013,-9e-04,0.001,-0.003,0.002,0.0022
"2019-03-18",0.0036,0.0102,-2e-04,-0.0027,-0.0031,0.0126,0.0159
"2019-03-19",2e-04,-0.0079,0.0123,0.0069,0.0093,0.0019,0.0074
"2019-03-20",-0.003,0.0087,0.021,0.0021,-0.0083,-0.0121,-0.0117
"2019-03-21",0.0113,0.0368,0.0062,0.0106,0.0059,0.0043,0.0251
"2019-03-22",-0.0192,-0.0207,-0.0211,-0.008,-0.0086,-0.0079,-0.0147
"2019-03-25",-8e-04,-0.0121,-0.0104,7e-04,-0.0022,-0.0011,0.0027
"2019-03-26",0.0075,-0.0103,-0.007,0.0069,0.0143,0.0015,0.014
"2019-03-27",-0.0052,0.009,-0.0098,-0.0076,9e-04,-0.0113,0.0024
"2019-03-28",0.0038,0.0013,-0.0039,0.0041,0.0013,-8e-04,0.0063
"2019-03-29",0.0063,0.0065,0.0041,0.0065,0.0066,0.0041,-7e-04
"2019-04-01",0.0119,0.0068,0.018,0.0016,-0.0058,0.003,-0.0036
"2019-04-02",5e-04,0.0145,0.0051,-0.0011,-0.0091,-0.009,-0.0064
"2019-04-03",0.0016,0.0069,0.0045,-4e-04,-0.0039,0.0026,-0.0019
"2019-04-04",0.0027,0.0017,0.0075,-0.016,-0.0117,0.0095,0.0261
"2019-04-05",0.0048,0.0067,-0.0065,-0.0086,0.0045,0.0073,-0.0054
"2019-04-08",8e-04,0.0157,-0.0027,-0.0025,-3e-04,0.004,0.0122
"2019-04-09",-0.0051,-0.003,-0.0055,-0.0019,-0.0042,-0.0054,-0.0155
"2019-04-10",0.0034,0.0056,0.0041,2e-04,1e-04,0.0092,0.0011
"2019-04-11",-3e-04,-0.0083,0.002,-0.0121,-0.0027,0.012,-0.0037
"2019-04-12",0.0068,-4e-04,0.011,-0.0051,0.0057,0.0075,0.0035
"2019-04-15",-7e-04,0.0018,0.0027,-0.0113,0.004,0.0086,0.0155
"2019-04-16",7e-04,1e-04,0.0049,-0.0124,0.011,0.0049,-1e-04
"2019-04-17",-0.0024,0.0195,0.0075,-0.0469,0.0036,0.0022,0.0087
"2019-04-18",0.002,0.0036,0,-0.0099,-0.0072,2e-04,0.007
"2019-04-22",9e-04,0.0033,0.0101,0.0037,0.0023,-0.0079,-0.0149
"2019-04-23",0.009,0.0144,0.0126,0.0155,0.015,0.0068,0.0017
"2019-04-24",-0.0022,-0.0015,-0.0068,0.0017,-0.005,0.0045,0.0088
"2019-04-25",-6e-04,-0.0091,0.0059,0.0215,0.0032,-1e-04,-0.0138
"2019-04-26",0.0047,-0.0048,0.0069,0.0038,0.0053,-0.0192,-0.0565
"2019-04-29",0.0016,0.0015,0.0121,0.002,-0.0039,3e-04,0.0088
"2019-04-30",5e-04,-0.0193,-0.077,0.0251,0.0097,0.0126,-0.0049
"2019-05-01",-0.0075,0.0491,-0.0172,1e-04,0.0053,-0.0144,-0.0226
"2019-05-02",-0.0022,-0.0065,-0.0047,0.0102,-0.0047,-0.0021,0.0099
"2019-05-03",0.0098,0.0124,0.0196,0.006,0.0052,0.0092,-0.0063
"2019-05-06",-0.0041,-0.0154,0.0034,-0.0065,6e-04,0.0037,5e-04
"2019-05-07",-0.0167,-0.027,-0.0129,-0.0199,-0.0149,-0.0113,-0.0124
